t,q1,q2,q3,qd1,qd2,qd3,tau1,tau2,tau3
0.000000000000000000e+00,-2.545308778298283011e-21,-1.570796326794816622e+00,3.525588624044043097e-13,-8.596528420022062439e-19,4.085181545425340078e-12,1.762794671089644571e-11,3.226850810695137738e-16,-1.478695981049355179e+00,-1.478695981046456831e+00
1.057052612304687500e-02,-4.578430393746563629e-21,-1.570796326794776654e+00,5.288382867924644364e-13,-1.437298203091582406e-18,4.085181500935412252e-12,1.762794237077576013e-11,7.658398373315271829e-16,-1.478695981054261699e+00,-1.478695981049838126e+00
2.248382568359375000e-02,1.579000505653234222e-21,-1.570796326794736686e+00,7.051176955552786820e-13,1.570760413907038967e-18,4.085185037383905773e-12,1.762793526035560999e-11,-7.114601991906033607e-16,-1.478695981059154008e+00,-1.478695981053212982e+00
3.364849090576171875e-02,8.972974174833431900e-21,-1.570796326794696718e+00,8.813971207567626968e-13,1.178397054547250753e-18,4.085184138694781345e-12,1.762794384078824721e-11,-6.594610966850736225e-16,-1.478695981064057197e+00,-1.478695981056592723e+00
4.212999343872070312e-02,1.189990610369457710e-20,-1.570796326794656750e+00,1.057676556585934711e-12,1.061361966092049334e-18,4.085183942855325227e-12,1.762793807426771353e-11,2.159097204471981899e-16,-1.478695981068964604e+00,-1.478695981059972908e+00
5.390930175781250000e-02,1.214331772658218289e-20,-1.570796326794616782e+00,1.233955976766075060e-12,4.380945884205110890e-19,4.085184197300866210e-12,1.762794068541511116e-11,-5.281253981936870116e-16,-1.478695981073864241e+00,-1.478695981063351539e+00
6.731414794921875000e-02,1.542430244927089741e-20,-1.570796326794576814e+00,1.410235411622159254e-12,9.998816753794757038e-19,4.085183662990881066e-12,1.762794304761731741e-11,5.215389564608492877e-18,-1.478695981078769428e+00,-1.478695981066730836e+00
7.516646385192871094e-02,2.032080280844753298e-20,-1.570796326794536846e+00,1.586514827028098057e-12,2.454555720448361889e-18,4.085185469725222812e-12,1.762794203912031724e-11,6.829359662387521713e-17,-1.478695981083670841e+00,-1.478695981070109688e+00
8.781242370605468750e-02,2.642160528944633507e-20,-1.570796326794496878e+00,1.762794241856638942e-12,-2.805657305506475138e-19,4.085182940644228868e-12,1.762794417051217167e-11,-2.954055303224561820e-16,-1.478695981088572697e+00,-1.478695981073487653e+00
9.757828712463378906e-02,2.802739887832446814e-20,-1.570796326794456910e+00,1.939073672982577811e-12,5.171177037536830227e-19,4.085183616893514320e-12,1.762794244989600255e-11,2.133675806131746751e-16,-1.478695981093478773e+00,-1.478695981076868726e+00
1.072084903717041016e-01,2.889107305281615452e-20,-1.570796326794416942e+00,2.115353108845957965e-12,6.479833356574052433e-19,4.085185045551500066e-12,1.762794120846312274e-11,-5.226944675959651299e-16,-1.478695981098376189e+00,-1.478695981080245581e+00
1.184227466583251953e-01,3.481342383462964534e-20,-1.570796326794376974e+00,2.291632517270444940e-12,3.645914601490264819e-19,4.085184448018805004e-12,1.762794164588725219e-11,-4.487755802439380519e-16,-1.478695981103278712e+00,-1.478695981083624433e+00
1.283316612243652344e-01,4.187540260506074265e-20,-1.570796326794337006e+00,2.467911936222945862e-12,1.263821447202848157e-18,4.085184138850530407e-12,1.762794212914336559e-11,-3.848224776702446212e-17,-1.478695981108183455e+00,-1.478695981087004174e+00
1.406507492065429688e-01,4.493644804486047306e-20,-1.570796326794297038e+00,2.644191361473030474e-12,7.310275645679953265e-19,4.085183618523361434e-12,1.762794121695260015e-11,2.571069125619635594e-16,-1.478695981113088420e+00,-1.478695981090384359e+00
1.491732597351074219e-01,4.876549656100371532e-20,-1.570796326794257070e+00,2.820470788590069402e-12,1.355404773052335383e-18,4.085185164654076379e-12,1.762793647764934004e-11,-6.590426831060128736e-17,-1.478695981117989611e+00,-1.478695981093763212e+00
1.604530811309814453e-01,5.060838169404857133e-20,-1.570796326794217102e+00,2.996750216345190124e-12,1.603954510709757422e-19,4.085183149174648603e-12,1.762794438785734144e-11,4.760359551353429714e-16,-1.478695981122894798e+00,-1.478695981097142731e+00
1.740593910217285156e-01,5.425573156537713088e-20,-1.570796326794177133e+00,3.173029633213367155e-12,8.943895765251671101e-19,4.085184529974532083e-12,1.762793815434583109e-11,3.718173398088876786e-16,-1.478695981127797543e+00,-1.478695981100522028e+00
